case_id,model,model_id,rag_enabled,success,processing_time,ground_truth_efficient,predicted_efficient,classification_correct,prediction_confidence,extraction_method,agile_score,lean_score,overall_score,response_length,error,full_response
pattern_62,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.3275279998779297,False,False,True,0.8,numerical_scores,30,20,25.0,452,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a long duration (~72 days) and multiple bottlenecks, indicating poor flow and excessive waiting (waste), lowering the Lean score. The rigid, sequential approval process lacks iterative cycles or adaptability, reducing the Agile score. Despite a 100% success rate, inefficiencies in collaboration and flow make it inefficient overall."
case_1,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.6531877517700195,False,False,True,0.8,numerical_scores,30,30,30.0,451,,"

Agile Score: 30/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical data (e.g., iterative cycles, collaboration metrics, waste analysis, or value stream details), making it impossible to confirm alignment with Agile adaptability or Lean waste reduction principles. Absence of documented activities and bottlenecks suggests poor visibility into process efficiency, defaulting to low scores."
pattern_10,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.2147762775421143,True,False,False,0.8,numerical_scores,20,10,15.0,512,,"

Agile Score: 20/100  
Lean Score: 10/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits significant inefficiencies with repetitive rejections and resubmissions, indicating poor collaboration and adaptability (low Agile score). Excessive delays and rework highlight waste and poor flow (low Lean score), aligning with Lean’s focus on eliminating non-value-added steps. The cycle of rejections without resolution underscores systemic bottlenecks, making the process inefficient."
case_3,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.783907890319824,False,False,True,0.8,numerical_scores,30,30,30.0,453,,"

Agile Score: 30/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks documented iterative processes, collaboration metrics, or adaptability measures (key Agile criteria). Similarly, no evidence of waste reduction, value stream analysis, or flow optimization (core Lean principles) is provided. Insufficient data on critical Agile/Lean practices results in low scores and an inefficient classification."
pattern_128,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.21523904800415,True,False,False,0.8,numerical_scores,30,20,25.0,438,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks iterative processes and adaptability (low Agile score) due to rigid, sequential approvals with bottlenecks. Lean principles are poorly applied, as the long duration (~52 days) and multiple handoffs indicate significant waste (e.g., waiting, over-processing) and inefficient flow, exacerbated by undefined bottlenecks."
pattern_158,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.553468227386475,True,False,False,0.8,numerical_scores,30,20,25.0,463,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits significant inefficiencies with multiple rejections and rework (non-value-added steps), violating Lean principles by creating waste and poor flow. The lack of streamlined collaboration and adaptability (key Agile tenets) further reduces efficiency, as the process relies on lengthy cycles of corrections rather than iterative improvements."
pattern_11,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.521420955657959,False,False,True,0.8,numerical_scores,30,20,25.0,380,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits significant inefficiencies with repetitive rejections and resubmissions, indicating poor collaboration (low Agile score) and excessive rework/waste (low Lean score). The undefined bottleneck and prolonged cycle time further undermine flow and adaptability."
case_7,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.012960195541382,False,False,True,0.8,numerical_scores,30,30,30.0,393,,"

Agile Score: 30/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical details about iterative processes (Agile) and value stream metrics (Lean), with no activities or bottlenecks identified. Both scores are low due to insufficient evidence of collaboration, adaptability, or waste reduction, leading to an INEFFICIENT classification."
pattern_109,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.5467162132263184,False,False,True,0.8,numerical_scores,40,30,35.0,385,,"

Agile Score: 40/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a very long duration (~167 days) and bottlenecks causing rejections, indicating poor collaboration (low Agile) and excessive delays/rework (low Lean). While the success rate is moderate, the inefficiencies in flow and adaptability fail to meet Agile/Lean thresholds."
pattern_96,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.716336727142334,True,False,False,0.8,numerical_scores,30,20,25.0,378,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, linear structure with sequential approvals, lacking iterative feedback (low Agile score). The extremely long duration (56+ days) and multiple bottlenecks indicate significant delays and waste in handoffs (low Lean score), despite a 100% success rate."
pattern_126,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.5821778774261475,True,False,False,0.8,numerical_scores,30,20,25.0,486,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, linear structure with multiple sequential approvals, leading to poor adaptability and collaboration (low Agile score). The extremely long duration and numerous bottlenecks (e.g., redundant approvals, undefined roles) indicate significant waste and flow disruption (low Lean score). Both principles highlight inefficiency due to excessive handoffs and delays."
pattern_101,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.469061851501465,False,False,True,0.8,numerical_scores,35,25,30.0,481,,"

Agile Score: 35/100  
Lean Score: 25/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, sequential structure with significant bottlenecks (e.g., multiple approval layers) and an extremely long cycle time (~94 days), indicating poor flow and excessive waiting waste under Lean principles. The lack of iterative processes or adaptability to streamline approvals further reduces its Agile score. Both scores fall below the efficiency threshold."
pattern_50,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.138620853424072,False,False,True,0.8,numerical_scores,30,20,25.0,499,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, linear structure with no evident iterative cycles or collaboration enhancements (low Agile score). The extreme duration (~72 days), post-trip approvals, and multiple bottlenecks (including undefined delays) indicate significant waste and poor flow optimization (low Lean score). Final approval after the trip concludes suggests redundant steps, violating Lean principles."
pattern_34,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.9947519302368164,False,False,True,0.8,numerical_scores,20,10,15.0,447,,"

Agile Score: 20/100  
Lean Score: 10/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a 0% success rate and an extremely long duration (~9 months), indicating severe inefficiencies. Agile principles are poorly reflected due to lack of adaptability and collaboration (bottleneck at EMPLOYEE). Lean principles are violated due to excessive delays (waste) and no value delivery, making the process highly inefficient."
case_14,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.797024965286255,False,False,True,0.8,numerical_scores,30,40,35.0,505,,"

Agile Score: 30/100  
Lean Score: 40/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks details on iterative processes, collaboration, or adaptability (key Agile criteria), resulting in a low Agile score. Lean principles are marginally better due to no explicit bottlenecks, but insufficient data on value stream efficiency and waste elimination limits the score. Insufficient evidence of structured practices in both frameworks justifies the ""inefficient"" classification."
pattern_57,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.8538527488708496,False,False,True,0.8,numerical_scores,30,20,25.0,425,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits poor collaboration (multiple rejections) and rigidity, lowering the Agile score. Excessive delays, rework, and bottlenecks (EMPLOYEE, PRE_APPROVER) create waste and disrupt flow, resulting in a low Lean score. The extremely low success rate (28.6%) and long duration highlight systemic inefficiencies."
pattern_61,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.123677968978882,False,False,True,0.8,numerical_scores,30,20,25.0,462,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a very long duration (over 5,600 hours) and clear bottlenecks, indicating poor flow and excessive waiting waste under Lean principles. While the success rate is perfect, the rigid sequence of activities and undefined bottlenecks show minimal iterative collaboration or adaptability (Agile) and systemic inefficiencies in value delivery (Lean)."
case_17,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.4372639656066895,False,False,True,0.8,numerical_scores,30,40,35.0,403,,"

Agile Score: 30/100  
Lean Score: 40/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks evidence of iterative processes, collaboration, or adaptability (low Agile score). While no bottlenecks are noted, insufficient data on value stream efficiency or waste reduction limits the Lean score. Absence of critical Agile/Lean markers results in an inefficient classification."
pattern_162,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.6930809020996094,True,False,False,0.8,numerical_scores,20,10,15.0,400,,"

Agile Score: 20/100  
Lean Score: 10/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits poor collaboration (Agile) due to repeated rejections and a supervisor bottleneck, with no adaptability to resolve failures. Lean principles highlight extreme waste (225+ hours, 0% success) and non-value-adding steps (rejection loop), rendering the process highly inefficient."
pattern_53,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.280767917633057,False,False,True,0.8,numerical_scores,30,20,25.0,468,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks iterative processes, collaboration, and adaptability (low Agile score) due to rigid, sequential handoffs. The extreme duration (~85 days) and bottlenecks like ""UNDEFINED"" indicate severe waste and poor flow (low Lean score), despite the 100% success rate. The process is overly delayed and lacks transparency, violating Lean efficiency principles."
pattern_6,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.9864282608032227,True,False,False,0.8,numerical_scores,30,20,25.0,421,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow exhibits significant inefficiencies, with a long duration (1384+ hours) and multiple rejections/re-submissions, indicating poor collaboration (low Agile score) and excessive delays/waste (low Lean score). Bottlenecks across roles and repetitive cycles highlight a lack of streamlined flow and adaptability."
pattern_154,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.342203140258789,True,False,False,0.8,numerical_scores,20,30,25.0,474,,"

Agile Score: 20/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks iterative processes and collaboration beyond sequential approvals, scoring low in Agile principles. Lean principles highlight inefficiencies due to excessive approval steps (non-value-added handoffs) and a prolonged duration (~15 days), indicating poor flow and waste. Despite a 100% success rate, the rigid structure and delays align it as INEFFICIENT."
case_22,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.7812509536743164,False,False,True,0.8,numerical_scores,30,40,35.0,409,,"

Agile Score: 30/100  
Lean Score: 40/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical details about iterative processes (Agile) and waste reduction strategies (Lean), resulting in low scores. With no identified activities, collaboration mechanisms, or value stream metrics, it fails to demonstrate alignment with core Agile/Lean principles, suggesting inefficiency."
pattern_121,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.023616075515747,True,False,False,0.8,numerical_scores,30,40,35.0,495,,"

Agile Score: 30/100  
Lean Score: 40/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, linear structure with no evident iterations or feedback loops, lowering its Agile score. The extremely long duration (1,221 hours) and multiple bottlenecks (including undefined delays) indicate significant waste and poor flow, reducing the Lean score. While the success rate is perfect, the process lacks efficiency in both adaptability and value stream optimization."
pattern_125,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.478961229324341,True,False,False,0.8,numerical_scores,30,20,25.0,456,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a long duration (≈52 days) and sequential approvals with multiple bottlenecks, indicating poor adaptability (low Agile score) and excessive delays/waste (low Lean score). Rigid handoffs and redundant steps (e.g., dual submissions/approvals) violate Lean principles, while the lack of iterative feedback loops undermines Agile efficiency."
case_25,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.0456597805023193,False,False,True,0.8,numerical_scores,30,30,30.0,465,,"

Agile Score: 30/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical details (e.g., iterative cycles, collaboration mechanisms, adaptability measures) to score well on Agile principles. Similarly, no data on waste reduction, value stream mapping, or flow optimization limits the Lean score. Insufficient evidence of structured Agile/Lean practices results in low scores and an inefficient classification."
case_26,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.0152270793914795,False,False,True,0.8,numerical_scores,20,30,25.0,432,,"

Agile Score: 20/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks details on iterative processes, collaboration, or adaptability (low Agile score). No activities or bottlenecks are identified, suggesting poor visibility into waste elimination and value stream efficiency (low Lean score). Insufficient data and undefined processes inherently fail to meet Agile/Lean benchmarks."
pattern_35,deepseek_r1,us.deepseek.r1-v1:0,False,True,4.348098993301392,False,False,True,0.8,numerical_scores,30,20,25.0,478,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a rigid, linear structure with no evident iterative cycles or adaptability (low Agile score). The extreme duration (~100 days) and bottlenecks highlight significant waste (e.g., waiting for approvals) and poor flow, as critical approvals occur *after* the trip concludes (low Lean score). Lean principles are violated due to non-value-adding steps and delays."
case_28,deepseek_r1,us.deepseek.r1-v1:0,False,True,2.9144303798675537,False,False,True,0.8,numerical_scores,30,40,35.0,437,,"

Agile Score: 30/100  
Lean Score: 40/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
Insufficient data on iterative processes, collaboration, or adaptability results in a low Agile score. While no explicit bottlenecks are noted (moderate Lean score), the lack of activity details or value stream metrics limits confidence in workflow efficiency. Absence of critical information defaults to a conservative classification."
case_29,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.3232157230377197,False,False,True,0.8,numerical_scores,30,25,27.5,421,,"

Agile Score: 30/100  
Lean Score: 25/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical details about iterative processes, collaboration, or adaptability (low Agile score). No activities or bottlenecks are defined, suggesting poor waste elimination and value stream optimization (low Lean score). Without evidence of Agile or Lean practices, the workflow defaults to inefficient."
pattern_104,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.6596519947052,False,False,True,0.8,numerical_scores,20,30,25.0,410,,"

Agile Score: 20/100  
Lean Score: 30/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks iterative processes and collaboration (low Agile score), with repeated rejections indicating poor adaptability. The extremely long duration, low success rate, and employee bottlenecks highlight excessive waste and poor flow (low Lean score), aligning with inefficiency per Lean principles."
case_31,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.2974557876586914,False,False,True,0.8,numerical_scores,0,0,0.0,409,,"

Agile Score: 0/100  
Lean Score: 0/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow lacks critical details (e.g., iterative cycles, collaboration mechanisms, waste reduction efforts, or value stream mapping), making it impossible to confirm alignment with Agile or Lean principles. Absence of defined activities and metrics suggests inefficiency by default under these frameworks."
pattern_56,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.7804789543151855,True,False,False,0.8,numerical_scores,30,20,25.0,435,,"

Agile Score: 30/100  
Lean Score: 20/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a long duration (~56 days) with sequential, approval-dependent steps and clear bottlenecks, indicating poor adaptability (low Agile score) and significant delays/waste (low Lean score). The rigid, linear structure lacks iterative feedback or streamlined handoffs, failing to meet Agile or Lean efficiency benchmarks."
pattern_18,deepseek_r1,us.deepseek.r1-v1:0,False,True,3.0132460594177246,False,False,True,0.8,numerical_scores,20,10,15.0,396,,"

Agile Score: 20/100  
Lean Score: 10/100  
Overall Classification: INEFFICIENT  

Brief Analysis:  
The workflow has a 0% success rate and excessively long duration, indicating no iterative improvement (low Agile score) and extreme waste of effort/time (low Lean score). The absence of successful outcomes and feedback loops violates both Agile adaptability and Lean waste-reduction principles."
