case_id,model,model_id,rag_enabled,success,processing_time,ground_truth_efficient,predicted_efficient,classification_correct,prediction_confidence,extraction_method,agile_score,lean_score,overall_score,response_length,error,full_response
pattern_62,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,5.01649808883667,False,False,True,0.8,numerical_scores,25,20,22.5,600,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
The workflow shows significant inefficiencies with an extremely long average duration of 1731 hours (over 2 months) and multiple bottlenecks across all stakeholder roles, indicating poor flow and excessive waste. While the 100% success rate is positive, the linear approval chain lacks iterative feedback loops and parallel processing opportunities that would improve both agility and lean efficiency. The process appears to be a traditional waterfall approach with substantial waiting time between handoffs."
case_1,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,2.2335641384124756,False,False,True,0.8,numerical_scores,0,0,0.0,461,,"Agile Score: 0/100
Lean Score: 0/100  
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow cannot be evaluated as it contains no defined process, activities, or measurable outcomes. The complete absence of workflow structure, success metrics, and process definition represents maximum inefficiency from both Agile and Lean perspectives, as there is no value delivery, iteration capability, or waste elimination possible without a defined process."
pattern_10,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,13.29417085647583,True,False,False,0.8,numerical_scores,25,15,20.0,574,,"Agile Score: 25/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with a cycle of repeated rejections between the same two roles (EMPLOYEE and PRE_APPROVER) without apparent learning or improvement, violating Agile principles of iterative progress and collaboration. The extremely long average duration of 625 hours and the repetitive rejection pattern indicate substantial waste in the process, with bottlenecks at both key roles creating poor flow and no clear value delivery to the customer."
case_3,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,3.649941921234131,False,False,True,0.8,numerical_scores,0,0,0.0,421,,"Agile Score: 0/100
Lean Score: 0/100  
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow cannot be evaluated as it contains no defined process, activities, or measurable metrics. Without any identifiable structure, deliverables, or flow characteristics, it fails to meet both Agile principles of iterative development and collaboration, as well as Lean principles of value delivery and waste elimination."
pattern_128,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,5.651524066925049,True,False,False,0.8,numerical_scores,25,20,22.5,550,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
The workflow shows significant inefficiencies with an extremely long average duration of 1,256 hours (over 7 weeks) and bottlenecks across all stakeholders including undefined roles. The linear, sequential approval process lacks iterative feedback loops and collaboration principles from Agile, while the excessive wait times and multiple handoffs represent substantial waste in the value stream, violating core Lean principles of flow and waste elimination."
pattern_158,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,7.532285928726196,True,False,False,0.8,numerical_scores,25,15,20.0,633,,"Agile Score: 25/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with an extremely long average duration of 912 hours and multiple rejection cycles that create waste through rework. The presence of bottlenecks across all actors (EMPLOYEE, SUPERVISOR, UNDEFINED) and the rejection-resubmission loop violate Lean principles of smooth flow and waste elimination. While there is some iterative feedback through the rejection process, the excessive duration and rework indicate poor collaboration and process design that fails both Agile and Lean standards."
pattern_11,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,12.314395904541016,False,False,True,0.8,numerical_scores,25,15,20.0,576,,"Agile Score: 25/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with an extremely long average duration of 2857 hours (nearly 4 months) and a rejection-heavy process that creates substantial waste. The sequence shows a declaration being rejected twice before resubmission, indicating poor collaboration and lack of early feedback mechanisms. Multiple bottlenecks including an ""UNDEFINED"" actor suggest unclear processes and poor value stream design that violates both Agile and Lean principles."
case_7,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,8.882847785949707,False,False,True,0.8,numerical_scores,0,0,0.0,544,,"Agile Score: 0/100
Lean Score: 0/100  
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow cannot be evaluated as it contains no measurable data, defined processes, activities, or identifiable bottlenecks. Without any information about the actual workflow structure, duration, success metrics, or process steps, it fails to meet basic requirements for both Agile iterative development and Lean value stream optimization. A complete lack of process definition represents maximum inefficiency from both methodological perspectives."
pattern_109,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,10.185717105865479,False,False,True,0.8,numerical_scores,25,20,22.5,513,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow shows significant inefficiencies with an extremely long average duration (4025 hours ≈ 167 days), low success rate (82%), and a process that ends in rejection rather than value delivery. The bottlenecks at both EMPLOYEE and ADMINISTRATION levels, combined with the rejection-heavy flow, indicate poor collaboration and substantial waste in the value stream with no apparent iterative improvement mechanisms."
pattern_96,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,14.940040111541748,True,False,False,0.8,numerical_scores,25,20,22.5,551,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
The workflow shows significant inefficiencies with an extremely long average duration of 1361 hours (nearly 57 days) and multiple bottlenecks across all stakeholders involved. The linear, sequential approval process lacks iterative feedback loops and collaborative elements typical of Agile methodologies, while the excessive wait times and numerous handoffs indicate substantial waste in the value stream that violates Lean principles of flow and efficiency."
pattern_126,claude_sonnet_4,us.anthropic.claude-sonnet-4-20250514-v1:0,False,True,5.445099830627441,True,False,False,0.8,numerical_scores,25,20,22.5,669,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
The workflow shows significant inefficiencies with an extremely long average duration of over 1,200 hours (approximately 30 weeks) and multiple bottlenecks across six different roles, indicating poor flow and excessive handoffs. While the 100% success rate is positive, the process lacks agile principles like iterative feedback and appears to have substantial waste in the form of waiting time and over-processing through multiple approval layers. The linear, sequential nature with numerous approval gates contradicts both lean flow principles and agile collaboration values."
