case_id,model,model_id,rag_enabled,success,processing_time,ground_truth_efficient,predicted_efficient,classification_correct,prediction_confidence,extraction_method,agile_score,lean_score,overall_score,response_length,error,full_response
pattern_62,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,10.049053192138672,False,False,True,0.8,numerical_scores,20,15,17.5,552,,"Agile Score: 20/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow exhibits significant inefficiencies with an average duration of 1731 hours (72 days) for what appears to be a simple permit approval process. The presence of multiple bottlenecks across all roles (EMPLOYEE, ADMINISTRATION, BUDGET OWNER, SUPERVISOR, UNDEFINED) indicates severe flow problems and waste, while the linear, sequential approval chain lacks any iterative feedback loops or collaborative elements that would align with Agile principles."
case_1,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,7.636799097061157,False,False,True,0.8,numerical_scores,0,0,0.0,508,,"Agile Score: 0/100
Lean Score: 0/100
Overall Classification: INEFFICIENT

Brief Analysis:
Without any process information, activities, duration data, or success metrics, it's impossible to evaluate this workflow against Agile or Lean principles. The complete absence of data indicates either a non-existent process or a critical lack of visibility and measurement, both of which are fundamental failures in Agile and Lean methodologies that emphasize transparency, continuous improvement, and value delivery."
pattern_10,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,19.180777072906494,True,False,False,0.8,numerical_scores,20,15,17.5,520,,"Agile Score: 20/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates severe inefficiencies with a 625-hour average duration and a repetitive rejection cycle between employee and pre-approver, indicating poor communication and unclear requirements. The process exhibits significant waste through rework (multiple submissions and rejections), lacks effective collaboration between stakeholders, and shows no evidence of continuous improvement or value stream optimization."
case_3,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,12.869771003723145,False,False,True,0.8,numerical_scores,0,0,0.0,508,,"Agile Score: 0/100
Lean Score: 0/100
Overall Classification: INEFFICIENT

Brief Analysis:
Without any process information, activities, duration data, or success metrics, it's impossible to evaluate this workflow against Agile or Lean principles. The complete absence of data indicates either a non-existent process or a critical lack of visibility and measurement, both of which are fundamental failures in Agile and Lean methodologies that emphasize transparency, continuous improvement, and value delivery."
pattern_128,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,9.76604700088501,True,False,False,0.8,numerical_scores,20,15,17.5,628,,"Agile Score: 20/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow exhibits significant inefficiencies with an average duration of over 52 days (1256 hours) for a simple travel permit process, multiple approval layers creating waste, and bottlenecks across all participant roles. The sequential, waterfall-like structure with redundant approvals (ADMINISTRATION approving twice, plus SUPERVISOR approval) violates both Agile principles of rapid iteration and Lean principles of waste elimination, despite the 100% success rate which likely indicates over-processing rather than efficiency."
pattern_158,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,18.962636947631836,True,False,False,0.8,numerical_scores,25,15,20.0,529,,"Agile Score: 25/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with multiple rejections and resubmissions creating a cycle of rework and waste. The 911+ hour average duration indicates severe bottlenecks and poor flow, while the rejection-resubmission pattern shows lack of clear requirements and collaboration between employees and supervisors, violating both Agile principles of effective communication and Lean principles of eliminating waste."
pattern_11,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,9.72399115562439,False,False,True,0.8,numerical_scores,25,15,20.0,609,,"Agile Score: 25/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with an extremely long average duration (2857 hours/~119 days) and a rejection-resubmission loop that indicates poor initial requirements communication and excessive handoffs. The multiple bottlenecks across three different roles (PRE_APPROVER, SUPERVISOR, UNDEFINED) suggest severe flow impediments and waste in the form of waiting time, rework, and unnecessary process steps that violate both Agile collaboration principles and Lean waste elimination practices."
case_7,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,16.196344137191772,False,False,True,0.8,numerical_scores,0,0,0.0,508,,"Agile Score: 0/100
Lean Score: 0/100
Overall Classification: INEFFICIENT

Brief Analysis:
Without any process information, activities, duration data, or success metrics, it's impossible to evaluate this workflow against Agile or Lean principles. The complete absence of data indicates either a non-existent process or a critical lack of visibility and measurement, both of which are fundamental failures in Agile and Lean methodologies that emphasize transparency, continuous improvement, and value delivery."
pattern_109,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,22.441048860549927,False,False,True,0.8,numerical_scores,25,20,22.5,543,,"Agile Score: 25/100
Lean Score: 20/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow demonstrates significant inefficiencies with an extremely long average duration (4025 hours/~168 days) and multiple rejection loops between employees and administration, indicating poor collaboration and excessive waste. The 81.8% success rate combined with identified bottlenecks at both employee and administration levels suggests a lack of iterative improvement and value stream optimization, violating core Agile and Lean principles."
pattern_96,claude_opus_4,us.anthropic.claude-opus-4-20250514-v1:0,False,True,14.72015905380249,True,False,False,0.8,numerical_scores,20,15,17.5,625,,"Agile Score: 20/100
Lean Score: 15/100
Overall Classification: INEFFICIENT

Brief Analysis:
This workflow exhibits significant inefficiencies with an average duration of 1361.9 hours (approximately 57 days) for international declarations, despite a 100% success rate. The process shows poor agile characteristics with rigid sequential approvals and no iterative feedback loops, while from a lean perspective, the extensive bottlenecks across multiple roles (EMPLOYEE, ADMINISTRATION, BUDGET OWNER, SUPERVISOR, UNDEFINED) indicate severe waste in waiting times and redundant approval steps that don't add value to the process."
